brand,name,price,n_shades,rating
Hourglass,Veil Fluid Makeup Oil Free,C$77.00,10 more colors,3.5 stars
Black Up,Matifying Fluid Foundation,C$51.00,6 more colors,4 stars
Urban Decay,Naked Skin Ultra Definition Powder Foundation,C$46.00,6 more colors,4 stars
Givenchy,Photo'Perfexion Fluid Foundation,C$68.00,2 more colors,4.5 stars
MAC Cosmetics,Foundation Pump,C$12.00,,4 stars
Perricone MD,No Makeup Foundation,C$84.00,4 more colors,3 stars
Guerlain,Lingerie de Peau Cushion Foundation,C$65.00,3 more colors,4.5 stars
Pretty Vulgar,Bird's Nest Blurring Beauty Mousse Foundation,C$53.50 - C$54.00,7 more colors,3.5 stars
Lise Watier,Velvet Matte Foundation,C$44.00 - C$45.00,9 more colors,4.5 stars
Lise Watier,Teint Multi-Fini Oil-Free Compact Foundation,C$37.00 - C$43.00,11 more colors,5 stars
KEVYN AUCOIN,The Sensual Skin Powder Foundation,C$67.00,,4.5 stars
Givenchy,Teint Couture Balm Blurring Foundation,C$62.00,7 more colors,4 stars
Lancôme,Bienfait Teinté Beauty Balm Sunscreen Broad Spectrum SPF 30,C$65.00,,4 stars
Lancôme,Bienfait Multi-Vital Teinte SPF 30 Sunscreen,C$58.00,1 more color,5 stars
BURBERRY,Cashmere Compact,C$62.00,,5 stars
Guerlain,Parure Gold Gold Radiance Powder Foundation,C$99.00,,5 stars
Guerlain,Terracotta Skin Foundation Stick,C$60.00,5 more colors,5 stars
BURBERRY,Fresh Glow Fluid Foundation,C$62.00,,4.5 stars
MAKE UP FOR EVER,Chromatic Mix – Water Base,C$18.50,2 more colors,4.5 stars
Perricone MD,No Foundation Foundation Serum,C$74.00,,4.5 stars
BURBERRY,Fresh Glow Compact - Luminous Foundation,C$62.00,,4.5 stars
Givenchy,Fluid Foundation Airy-Light Mat Radiance SPF 20,C$70.00 - C$74.00,3 more colors,4.5 stars
Guerlain,Terracotta Joli Teint Foundation,C$73.00,,4.5 stars
KEVYN AUCOIN,The Sensual Skin Fluid Foundation,C$78.00,,4.5 stars
Lancôme,MIRACLE CUSHION Liquid Cushion Compact Foundation Refill,C$53.00,,4.5 stars
MAC Cosmetics,Hyper Real Foundation,C$38.00,,4 stars
Antonym,Certified Organic Baked Foundation,C$52.00,2 more colors,4 stars
bareMinerals,bareMinerals READY® To Go Complexion Perfection Palette,C$60.00,,4 stars
BURBERRY,Cashmere Foundation Fluid,C$62.00,,4 stars
